# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-124.8809418241953,-109.3363607277447,-0.04783915366218429,-20.903379835301646,0.0,0.0
 0.10613578159438351,0.012672904651482011,0.11940275429368144,1.1249999999999998,-124.8809418241953,-109.44809401024432,-0.04783915366218429,-20.903379835301646,0.0,0.0
 0.14979916116677405,0.025244762272052787,0.2879268106063022,3.859620074374243,-124.91553953918424,-109.55982729274393,-0.049292950721858686,-20.2868764266643,-0.7923737312080571,-18.14732938604448
 0.18310006482089314,0.03771633795459217,0.3745116292361255,2.6000741460093497,-124.9509043490177,-109.67156057524353,-0.05078419245289647,-19.691166713491082,-1.0619774826773183,-8.095989053916055
 0.21100478560184185,0.05008839699023915,0.4433679567255769,2.4675512086278024,-124.98704835864626,-109.78329385774315,-0.052313654946347106,-19.11546805562716,-1.2952650525435592,-8.360147076816924
 0.23544134419054263,0.06236170487353075,0.5022518960164325,2.4096657914049713,-125.0239837746992,-109.89502714024276,-0.053882119609417425,-18.559032332967497,-1.511481901957829,-8.84808917055309
 0.25740072918418627,0.07453702730761966,0.5544473325465706,2.376907939145228,-125.06172290179961,-110.00676042274237,-0.05549037344799404,-18.021143810416177,-1.7185876157880857,-9.43130756577226
 0.277472929946251,0.08661513020957676,0.6017328665217417,2.355772271097346,-125.10027813867613,-110.11849370524199,-0.057139206795104876,-17.501117990417573,-1.9208275830617045,-10.075624973612268
 0.29604320963260516,0.09859677971577142,0.6452056570262126,2.3409873862274444,-125.1396619739286,-110.23022698774159,-0.058829413711055135,-16.99829960760057,-2.120799251149823,-10.768371368960164
 0.31337977271083056,0.11048274218732829,0.6856008551363649,2.3300580356027107,-125.17988698152183,-110.3419602702412,-0.06056179095079958,-16.512061223757406,-2.320241181122557,-11.504121611233993
 0.3296783404952503,0.12227378421566495,0.7234403773568411,2.3216470748213855,-125.22096581596165,-110.45369355274082,-0.062337136783424785,-16.0418019113431,-2.5203953490377726,-12.280475840739113
 0.3450870069070923,0.1339706726281075,0.7591110158276341,2.3149724653250354,-125.26291120716242,-110.56542683524043,-0.06415625007543671,-15.58694591445373,-2.7221947753076243,-13.096488747057496
 0.3597210950396249,0.14557417449357019,0.7929091146900575,2.3095459420726026,-125.30573595490017,-110.67716011774004,-0.06601992935305401,-15.146941382689333,-2.926369402035754,-13.951988321994259
 0.37367253296414216,0.15708505712831763,0.825067831504239,2.3050467620737547,-125.34945292305413,-110.78889340023966,-0.06792897143417502,-14.721259263715286,-3.1335098497004163,-14.847247200279542
 0.38701603538617874,0.1685040881017904,0.8557746393941088,2.301255466417722,-125.39407503333723,-110.90062668273926,-0.06988417112464945,-14.309392011194383,-3.3441077815839355,-15.782807633453102
 0.3998133289340514,0.17983203524249397,0.8851830348602602,2.298016792077102,-125.43961525875672,-111.01235996523887,-0.07188631831410854,-13.910852905701505,-3.558582543184487,-16.75938438062982
 0.41211612888058774,0.19106966664396133,0.9134206400414687,2.2952177800109994,-125.4860866166531,-111.12409324773849,-0.07393619830020154,-13.525174718068701,-3.7772993219697,-17.777805031023753
 0.42396829092203336,0.20221775067076864,0.9405949722779492,2.2927742753984472,-125.53350216136184,-111.2358265302381,-0.07603458951104891,-13.15190897235903,-4.000581880583384,-18.838972824780093
 0.43540740152399304,0.2132770559646101,0.9667976540017768,2.2906222901052007,-125.58187497640063,-111.34755981273771,-0.07818226201623134,-12.790625062656682,-4.228721683178814,-19.94384096228137
 0.4464659762579168,0.2242483514504265,0.9921075500046473,2.2887122989935498,-125.63121816631305,-111.45929309523731,-0.08037997600611328,-12.440909411616959,-4.4619845775467315,-21.093395847147494
 0.4571723782290788,0.23513240634258584,1.0165931487978732,2.2870053692340804,-125.68154484804032,-111.57102637773693,-0.08262848050011729,-12.102364631993693,-4.7006157496081045,-22.288643066469206
 0.46755153265696,0.24592999015110634,1.0403143997467954,2.285470470041431,-125.73286814183774,-111.68275966023654,-0.08492851096082307,-11.774608887953928,-4.944843450786984,-23.53059710941568
 0.4776254903749737,0.2566418726879259,1.0633241509109284,2.284082563001839,-125.78520116176107,-111.79449294273616,-0.08728078766977505,-11.457275154109265,-5.194881831770727,-24.820273023048003
 0.4874138775876862,0.26726882407319696,1.0856692889579962,2.2828212208490837,-125.83855700561364,-111.90622622523577,-0.08968601432006307,-11.150010484703818,-5.450933099915169,-26.158677888416697
 0.4969342587788782,0.2778116147416273,1.1073916534123873,2.281669611557992,-125.89294874451772,-112.01795950773538,-0.09214487486641001,-10.852475533227237,-5.713189189779994,-27.546805595080205
 0.506202432452854,0.28827101544883454,1.1285287776356945,2.2806137397552533,-125.94838941189498,-112.12969279023498,-0.0946580321685503,-10.564343850074726,-5.981833026383356,-28.985628242777715
 0.5152326743242406,0.29864779727772256,1.1491144951242251,2.2796418724684484,-126.00489199194078,-112.2414260727346,-0.09722612553996302,-10.285301347208044,-6.257039495790252,-30.476090599402696
 0.5240379389530057,0.30894273164487834,1.1691794399369042,2.2787440989712926,-126.06246940769705,-112.35315935523421,-0.099849768639797,-10.015045739439312,-6.538976190240764,-32.0191051986649
 0.5326300281992421,0.31915659030696614,1.1887514630462812,2.2779119895606357,-126.12113450843299,-112.46489263773383,-0.10252954615448093,-9.753286125867595,-6.8278039315797665,-33.61554251377406
