# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-7.807472796770729,-21.41,6667.129286861641,0.00014998959176787182,0.0,0.0
 0.012772408389043631,0.00004078360401412804,0.0031931020972609083,0.25000000000000006,-7.807472796770729,-21.41,6667.129286861641,0.00014998959176787182,0.0,0.0
 0.02891191906260944,0.0002089747659707198,0.010421081862913267,0.4478437984796371,145.90379281178843,-21.41,178.58513758235057,0.005599570118419693,9523.911146842638,590099.1262666613
 0.04819555320929282,0.000580702837287444,0.019276868067975572,0.45923844736420827,148.66644850073004,-21.41,29.635232190852673,0.03374361953906553,143.26426584984645,-486456.3810761875
 0.06795771388721257,0.0011545627191940615,0.029038316774126365,0.49394642950440404,149.46924771963782,-21.41,9.894594585752746,0.10106528279995451,40.62304886553849,-5193.825647768815
 0.08783963696281707,0.0019289504554398757,0.03894933771250743,0.49849407930473655,149.85142174038023,-21.41,4.46309132167362,0.2240599458818622,19.222185866485166,-1076.3980384429003
 0.10774466654186149,0.002902228292054233,0.04889607587616967,0.49970979064175575,150.07487517124162,-21.41,2.3867586479176732,0.4189782661403363,11.225978337486104,-401.71794255544825
 0.1276361690939682,0.004072747915246011,0.05884520890895739,0.500170010119925,150.2214586468861,-21.41,1.4248356709560326,0.7018353206507123,7.369150483253144,-193.89323879027359
 0.14749720875211839,0.005438856647416498,0.06878334446152164,0.5003834503943514,150.32500011509813,-21.41,0.9187622286815852,1.0884208871265748,5.213295476681434,-108.54693629731665
 0.16731885345276573,0.006998899680187024,0.07870401555122103,0.5004968679201176,150.402018188289,-21.41,0.627230528772192,1.5943101525327645,3.885554117935688,-66.98441924460407
 0.18709592236174194,0.008751221041097743,0.08860369395362697,0.5005634782367965,150.46153750716724,-21.41,0.4474523667590267,2.23487475827465,3.0095116294623514,-44.29587076352489
 0.2068251828762295,0.010694164067946446,0.09848027630949288,0.5006058057073836,150.5089054992161,-21.41,0.3305463527150472,3.025294309818224,2.4009005311720264,-30.848145466142075
 0.22650449588346244,0.012826071663855364,0.10833241968992294,0.500634517922907,150.54749211649525,-21.41,0.2512204182604739,3.980568167684387,1.9607705444277506,-22.3651093197466
 0.24613237450137784,0.01514528644442163,0.11815921759621013,0.5006551190569193,150.57952655466997,-21.41,0.19548324842870526,5.115527842093898,1.6320886631884672,-16.745665063328737
 0.2657077404025425,0.017650150827456235,0.12796002872598014,0.5006706479589679,150.60654227892826,-21.41,0.155162657228299,6.444849668491093,1.3800878305241748,-12.873365123116244
 0.28522978168653806,0.020339007090237542,0.13773438052227005,0.5006828770669115,150.62962879681115,-21.41,0.12526511951935884,7.98306826223446,1.182587289262587,-10.116797643671713
 0.3046978661393292,0.023210197407465147,0.14748191195646693,0.5006928882928374,150.64958147618864,-21.41,0.10262104249281088,9.744590151382013,1.0248917619947897,-8.10020768351395
 0.3241114862339273,0.02626206387719132,0.1572023380933141,0.5007013678789306,150.66699453035628,-21.41,0.08515197578081554,11.743708714100052,0.8969503927033545,-6.590289120112899
 0.3434702230998409,0.029492948539063615,0.16689542733344184,0.5007087656217448,150.68232082685998,-21.41,0.07145603940705723,13.99461834574107,0.7916992007198294,-5.436883238433247
 0.3627737222425697,0.032901193387432276,0.17656098633560258,0.5007153848478046,150.69591155482104,-21.41,0.060564102055653705,16.511431129302927,0.7040551487874127,-4.540319414857497
 0.38202167677229304,0.03648514038097858,0.18619884975371565,0.5007214352688728,150.70804324340807,-21.41,0.051791484795321696,19.30819330536609,0.6302845618376901,-3.83264553310345
 0.4012138155643441,0.040243131449924884,0.1958088730841596,0.500727065105646,150.71893659994083,-21.41,0.04464504653219816,22.398901505876953,0.5675947142108394,-3.266433632337812
 0.4203498947376689,0.04417350850149235,0.2053909275755037,0.5007323812027927,150.72876991788027,-21.41,0.038763411048924744,25.79752330716878,0.5138627328188264,-2.807888748020744
 0.43942969141435895,0.04827461342412969,0.21494489653800683,0.500737461954996,150.73768879766504,-21.41,0.03387761768334158,29.518014204750983,0.4674515109298239,-2.432479898787582
 0.4584529990775302,0.052544788090795484,0.22447067262297252,0.5007423658193476,150.7458133108836,-21.41,0.029784652546919945,33.57433827454236,0.42708204915872605,-2.1221052871500548
 0.4774196240690802,0.05698237436156547,0.23396815578665234,0.5007471370320833,150.75324335988705,-21.41,0.026329305809173264,37.980492431045974,0.3917433389845418,-1.8632049819052345
 0.49632938291304307,0.061585714085710536,0.24343725174553052,0.5007518095293569,150.76006274146056,-21.41,0.02339152769036863,42.75052118172453,0.36062763305307083,-1.6454840163868565
 0.5151821002455996,0.06635314910336676,0.2528778707896602,0.5007564096782351,150.76634226597125,-21.41,0.02087745882433141,47.898549742776204,0.33308325796841803,-1.4610294420044545
 0.5339776071967959,0.07128302124690392,0.2622899268605996,0.5007609582108339,150.77214217876093,-21.41,0.018712994209109553,53.43880240785819,0.3085797475304685,-1.3036897861587078
 0.5527157401125411,0.07637367234203851,0.2716733368273335,0.500765471614798,150.7775140591398,-21.41,0.016839086348113732,59.385644762847676,0.286681730940299,-1.1686338595543384
 0.5713963395359226,0.08162344420876282,0.28102801991211496,0.5007699631454371,150.78250232401257,-21.41,0.01520830059353051,65.75356620879732,0.26702916537631793,-1.0520307790221655
